,0
0,nvalid
1,nvalid
2,nvalid
3,nvalid
4,nvalid
5,nvalid
6,nvalid
7,nvalid
8,nvalid
9,nvalid
10,nvalid
11,nvalid
12,nvalid
13,nvalid
14,nvalid
15,nvalid
16,nvalid
17,nvalid
18,nvalid
19,nvalid
20,nvalid
21,nvalid
22,nvalid
23,nvalid
24,nvalid
25,nvalid
26,nvalid
27,nvalid
28,nvalid
29,nvalid
30,nvalid
31,nvalid
32,nvalid
33,nvalid
34,nvalid
35,nvalid
36,nvalid
37,nvalid
38,nvalid
39,nvalid
40,nvalid
41,nvalid
42,nvalid
43,nvalid
44,nvalid
45,nvalid
46,nvalid
47,nvalid
48,nvalid
49,nvalid
50,nvalid
51,nvalid
52,nvalid
53,nvalid
54,nvalid
55,nvalid
56,nvalid
57,nvalid
58,nvalid
59,nvalid
60,nvalid
61,nvalid
62,nvalid
63,nvalid
64,nvalid
65,nvalid
66,nvalid
67,nvalid
68,nvalid
69,nvalid
70,nvalid
71,nvalid
72,nvalid
73,nvalid
74,nvalid
75,nvalid
76,nvalid
77,nvalid
78,nvalid
79,nvalid
80,nvalid
81,nvalid
82,nvalid
83,nvalid
84,nvalid
85,nvalid
86,nvalid
87,nvalid
88,nvalid
89,nvalid
90,nvalid
91,nvalid
92,nvalid
93,nvalid
94,nvalid
95,nvalid
96,nvalid
97,nvalid
98,nvalid
99,nvalid
100,nvalid
101,nvalid
102,nvalid
103,nvalid
104,nvalid
105,nvalid
106,nvalid
107,nvalid
108,nvalid
109,nvalid
110,nvalid
111,nvalid
112,nvalid
113,nvalid
114,nvalid
115,nvalid
116,nvalid
117,nvalid
118,nvalid
119,nvalid
120,nvalid
121,nvalid
122,nvalid
123,nvalid
124,nvalid
125,nvalid
126,nvalid
127,nvalid
128,nvalid
129,nvalid
130,nvalid
131,nvalid
132,nvalid
133,nvalid
134,nvalid
135,nvalid
136,nvalid
137,nvalid
138,nvalid
139,nvalid
140,nvalid
141,nvalid
142,nvalid
143,nvalid
144,nvalid
145,nvalid
146,nvalid
147,nvalid
148,nvalid
149,nvalid
150,nvalid
151,nvalid
152,nvalid
153,nvalid
154,nvalid
155,nvalid
156,nvalid
157,nvalid
158,nvalid
159,nvalid
160,nvalid
161,nvalid
162,nvalid
163,nvalid
164,nvalid
165,nvalid
166,nvalid
167,nvalid
168,nvalid
169,nvalid
170,nvalid
171,nvalid
172,nvalid
173,nvalid
174,nvalid
175,nvalid
176,nvalid
177,nvalid
178,nvalid
179,nvalid
180,nvalid
181,nvalid
182,nvalid
183,nvalid
184,nvalid
185,nvalid
186,nvalid
187,nvalid
188,nvalid
189,nvalid
190,nvalid
191,nvalid
192,nvalid
193,nvalid
194,nvalid
195,nvalid
196,nvalid
197,nvalid
198,nvalid
199,nvalid
200,nvalid
201,nvalid
202,nvalid
203,nvalid
204,nvalid
205,nvalid
206,nvalid
207,nvalid
208,nvalid
209,nvalid
210,nvalid
211,nvalid
212,nvalid
213,nvalid
214,nvalid
215,nvalid
216,nvalid
217,nvalid
218,nvalid
219,nvalid
220,nvalid
221,nvalid
222,nvalid
223,nvalid
224,nvalid
225,nvalid
226,nvalid
227,nvalid
228,nvalid
229,nvalid
230,nvalid
231,nvalid
232,nvalid
233,nvalid
234,nvalid
235,nvalid
236,nvalid
237,nvalid
238,nvalid
239,nvalid
240,nvalid
241,nvalid
242,nvalid
243,nvalid
244,nvalid
245,nvalid
246,nvalid
247,nvalid
248,nvalid
249,nvalid
250,nvalid
251,nvalid
252,nvalid
253,nvalid
254,nvalid
255,nvalid
256,nvalid
257,nvalid
258,nvalid
259,nvalid
260,nvalid
261,nvalid
262,nvalid
263,nvalid
264,nvalid
265,nvalid
266,nvalid
267,nvalid
268,nvalid
269,nvalid
270,nvalid
271,nvalid
272,nvalid
273,nvalid
274,nvalid
275,nvalid
276,nvalid
277,nvalid
278,nvalid
279,nvalid
280,nvalid
281,nvalid
282,nvalid
283,nvalid
284,nvalid
285,nvalid
286,nvalid
287,nvalid
288,nvalid
289,nvalid
290,nvalid
291,nvalid
292,nvalid
293,nvalid
294,nvalid
295,nvalid
296,nvalid
297,nvalid
298,nvalid
299,nvalid
300,nvalid
301,nvalid
302,nvalid
303,nvalid
304,nvalid
305,nvalid
306,nvalid
307,nvalid
308,nvalid
309,nvalid
310,nvalid
311,nvalid
312,nvalid
313,nvalid
314,nvalid
315,nvalid
316,nvalid
317,nvalid
318,nvalid
319,nvalid
320,nvalid
321,nvalid
322,nvalid
323,nvalid
324,nvalid
325,nvalid
326,nvalid
327,nvalid
328,nvalid
329,nvalid
330,nvalid
331,nvalid
332,nvalid
333,nvalid
334,nvalid
335,nvalid
336,nvalid
337,nvalid
338,nvalid
339,nvalid
340,nvalid
341,nvalid
342,nvalid
343,nvalid
344,nvalid
345,nvalid
346,nvalid
347,nvalid
348,nvalid
349,nvalid
350,nvalid
351,nvalid
352,nvalid
353,nvalid
354,nvalid
355,nvalid
356,nvalid
357,nvalid
358,nvalid
359,nvalid
360,nvalid
361,nvalid
362,nvalid
363,nvalid
364,nvalid
365,nvalid
366,nvalid
367,nvalid
368,nvalid
369,nvalid
370,nvalid
371,nvalid
372,nvalid
373,nvalid
374,nvalid
375,nvalid
376,nvalid
377,nvalid
378,nvalid
379,nvalid
380,nvalid
381,nvalid
382,nvalid
383,nvalid
384,nvalid
385,nvalid
386,nvalid
387,nvalid
388,nvalid
389,nvalid
390,nvalid
391,nvalid
392,nvalid
393,nvalid
394,nvalid
395,nvalid
396,nvalid
397,nvalid
398,nvalid
399,nvalid
400,nvalid
401,nvalid
402,nvalid
403,nvalid
404,nvalid
405,nvalid
406,nvalid
407,nvalid
408,nvalid
409,nvalid
410,nvalid
411,nvalid
412,nvalid
413,nvalid
414,nvalid
415,nvalid
416,nvalid
417,nvalid
418,nvalid
419,nvalid
420,nvalid
421,nvalid
422,nvalid
423,nvalid
424,nvalid
425,nvalid
426,nvalid
427,nvalid
428,nvalid
429,nvalid
430,nvalid
431,nvalid
432,nvalid
433,nvalid
434,nvalid
435,nvalid
436,nvalid
437,nvalid
438,nvalid
439,nvalid
440,nvalid
441,nvalid
442,nvalid
443,nvalid
444,nvalid
445,nvalid
446,nvalid
447,nvalid
448,nvalid
449,nvalid
450,nvalid
451,nvalid
452,nvalid
453,nvalid
454,nvalid
455,nvalid
456,nvalid
457,nvalid
458,nvalid
459,nvalid
460,nvalid
461,nvalid
462,nvalid
463,nvalid
464,nvalid
465,nvalid
466,nvalid
467,nvalid
468,nvalid
469,nvalid
470,nvalid
471,nvalid
472,nvalid
473,nvalid
474,nvalid
475,nvalid
476,nvalid
477,nvalid
478,nvalid
479,nvalid
480,nvalid
481,nvalid
482,nvalid
483,nvalid
484,nvalid
485,nvalid
486,nvalid
487,nvalid
488,nvalid
489,nvalid
490,nvalid
491,nvalid
492,nvalid
493,nvalid
494,nvalid
495,nvalid
496,nvalid
497,nvalid
498,nvalid
499,nvalid
500,nvalid
501,nvalid
502,nvalid
503,nvalid
504,nvalid
505,nvalid
506,nvalid
507,nvalid
508,nvalid
509,nvalid
510,nvalid
511,nvalid
512,nvalid
513,nvalid
514,nvalid
515,nvalid
516,nvalid
517,nvalid
518,nvalid
519,nvalid
520,nvalid
521,nvalid
522,nvalid
523,nvalid
524,nvalid
525,nvalid
526,nvalid
527,nvalid
528,nvalid
529,nvalid
